sr._no.,work_category,work,state,ida,hon'ble_members_of_parliament,constituency,work_description,recommended_date_x,sanction_date,sanction_amount__₹_,work_status,project_id,recommended_date_y,recommended_amount____₹_,completion_date,amount_disbursed__₹_,total_expenditure,payment_count,latest_payment_date,completed_flag,fund_utilization,expenditure_ratio,project_age_days,over_budget,missing_completion,anomaly_prediction,cost_anomaly_flag,anomaly_score,anomaly_reason
2869,Normal/Others,WS/MP18221/2025-2026/140960-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast LIght,15-Sep-2024,2025-06-06,243000.0,Vendor Identification,WS/MP18221/2025-2026/140960,15-Sep-2024,243000.0,,,97173.0,1.0,2026-09-03,0,0.3998888888888889,0.3998888888888889,459.0,0,1,1,0,0.167703294032438,Detected by Isolation Forest pattern analysis
2871,Normal/Others,WS/MP18221/2025-2026/140962-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast LIght,15-Sep-2024,2025-06-06,243000.0,Vendor Identification,WS/MP18221/2025-2026/140962,15-Sep-2024,243000.0,,,97173.0,1.0,2026-09-03,0,0.3998888888888889,0.3998888888888889,459.0,0,1,1,0,0.167703294032438,Detected by Isolation Forest pattern analysis
2872,Normal/Others,WS/MP18221/2025-2026/140963-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast LIght,15-Sep-2024,2025-06-06,243000.0,Vendor Identification,WS/MP18221/2025-2026/140963,15-Sep-2024,243000.0,,,97173.0,1.0,2026-09-03,0,0.3998888888888889,0.3998888888888889,459.0,0,1,1,0,0.167703294032438,Detected by Isolation Forest pattern analysis
2920,Normal/Others,WS/MP18311/2024-2025/141027-Construction of community centers and community halls,Punjab,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,Construction of community centers at village Madhopur,16-Sep-2024,2024-09-24,700000.0,Work partially Completed,WS/MP18311/2024-2025/141027,16-Sep-2024,700000.0,,,125000.0,1.0,2026-05-04,0,0.1785714285714285,0.1785714285714285,714.0,0,1,1,0,0.010565521084066054,Project age unusually high
2945,Normal/Others,"WS/MP18161/2024-2025/141088-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),cc/interlocking with nali nirman karya mukhya sadak se balli ke ghar ghar ki tARAF GRAM moroli work agency gp jaspura moroli,15-Sep-2024,2024-12-17,500000.0,Work partially Completed,WS/MP18161/2024-2025/141088,15-Sep-2024,500000.0,,,124036.0,14.0,2026-08-30,0,0.248072,0.248072,630.0,0,1,-1,1,-0.0810945426423072,Unusually high number of payments
2998,Normal/Others,WS/MP18152/2024-2025/141161-Development of public parks,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Development of public park,16-Sep-2024,2025-01-10,300000.0,Vendor Identification,WS/MP18152/2024-2025/141161,16-Sep-2024,300000.0,,,300000.0,6.0,2026-02-18,0,1.0,1.0,606.0,0,1,1,0,0.06284304331360624,Unusually high number of payments
3152,Normal/Others,"WS/MP18006/2024-2025/141549-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),DAGGUMALLA PRASADA RAO,CHITTOOR,"Construction of CC Road from Bhaskara House to Ramesh House at Jinkalamitta ST Colony Village,  Damalacheruvu GP of Pakala Mandal, Chandragiri Constituency.",18-Sep-2024,2024-10-28,490000.0,Work Completed,WS/MP18006/2024-2025/141549,18-Sep-2024,490000.0,2026-04-20,468835.0,468835.0,1.0,2026-04-20,1,0.9568061224489796,0.9568061224489796,680.0,0,0,1,0,0.07991611723241776,Detected by Isolation Forest pattern analysis
3166,Normal/Others,WS/MP18155/2024-2025/141574-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Construction of Shamshan Ghat,18-Sep-2024,2024-11-13,400000.0,Work partially Completed,WS/MP18155/2024-2025/141574,18-Sep-2024,400000.0,,,324100.0,4.0,2026-06-14,0,0.81025,0.81025,664.0,0,1,-1,1,-0.019261284298585202,Unusually high number of payments
3171,Normal/Others,WS/MP18144/2024-2025/141587-Construction of footpaths and pedestrian ways,Odisha,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),MALVIKA DEVI,KALAHANDI,Construction of Walking step towards the Bisamagiri Dorki Temple.,20-Sep-2024,2024-11-19,600000.0,Vendor Identification,WS/MP18144/2024-2025/141587,20-Sep-2024,600000.0,,,600000.0,1.0,2026-05-29,0,1.0,1.0,658.0,0,1,1,0,0.19086105617805632,Detected by Isolation Forest pattern analysis
3198,Normal/Others,WS/MP18056/2024-2025/141634-Construction of community centers and community halls,Gujarat,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,Construction of Community Halls at Schedule Caste Area at Village Kharachiya (Jam),19-Sep-2024,2025-02-01,838978.0,Physical Inspection,WS/MP18056/2024-2025/141634,19-Sep-2024,838978.0,2026-02-03,838978.0,838978.0,1.0,2026-02-03,1,1.0,1.0,584.0,0,0,1,0,0.20659349502686886,Detected by Isolation Forest pattern analysis
3201,Normal/Others,WS/MP18056/2024-2025/141637-Providing drains and gutters for public drainage,Gujarat,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,Pavar Block Road and Underground Drains at Village Meghpar,19-Sep-2024,2025-01-04,400000.0,Physical Inspection,WS/MP18056/2024-2025/141637,19-Sep-2024,400000.0,2026-03-30,400000.0,400000.0,1.0,2026-03-16,1,1.0,1.0,612.0,0,0,1,0,0.21007786023879566,Detected by Isolation Forest pattern analysis
3226,Normal/Others,"WS/MP422/2025-2026/141663-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),Dileshwar Kamait,SUPAUL,SADAK KI UCHAIKARAN TATHA PCC DHALAI KARYA,18-Sep-2024,2025-09-10,1462770.0,Physical Inspection,WS/MP422/2025-2026/141663,18-Sep-2024,1462770.0,2026-03-18,1462770.0,1462770.0,1.0,2026-01-29,1,1.0,1.0,363.0,0,0,1,0,0.16590458198543528,Detected by Isolation Forest pattern analysis
3257,Normal/Others,WS/MP18155/2024-2025/141701-Development of public parks,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Construction of Park,19-Sep-2024,2024-09-23,200000.0,Physical Inspection,WS/MP18155/2024-2025/141701,19-Sep-2024,200000.0,2026-01-27,200000.0,200000.0,4.0,2026-01-10,1,1.0,1.0,715.0,0,0,1,0,0.04476673826067956,Project age unusually high; Unusually high number of payments
3260,Normal/Others,"WS/MP18155/2024-2025/141704-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Construction of Streets & Drains,19-Sep-2024,2024-09-23,200000.0,Physical Inspection,WS/MP18155/2024-2025/141704,19-Sep-2024,200000.0,2026-02-04,200000.0,57500.0,2.0,2026-01-14,1,0.2875,0.2875,715.0,0,0,-1,1,-0.02083127469079804,Project age unusually high
3299,Normal/Others,"WS/MP18155/2024-2025/141775-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Construction of Streets & Drains,20-Sep-2024,2024-09-23,200000.0,Physical Inspection,WS/MP18155/2024-2025/141775,20-Sep-2024,200000.0,2026-02-04,200000.0,91000.0,2.0,2026-01-29,1,0.455,0.455,715.0,0,0,-1,1,-0.018607702719844244,Project age unusually high
3330,Normal/Others,"WS/MP351/2025-2026/141849-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Gandhi Smaraka Thazhe Chalil Road-Tarring-,19-Sep-2024,2026-02-19,700000.0,Physical Inspection,WS/MP351/2025-2026/141849,19-Sep-2024,700000.0,2026-05-15,671276.0,671276.0,1.0,2026-05-15,1,0.9589657142857144,0.9589657142857144,201.0,0,0,1,0,0.06361697790302057,Detected by Isolation Forest pattern analysis
3331,Normal/Others,WS/MP18278/2025-2026/141850-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),GRAM ADBHAR ME (MUKTIDHAM NIRMARAN),19-Sep-2024,2026-02-05,250000.0,Vendor Identification,WS/MP18278/2025-2026/141850,19-Sep-2024,250000.0,,,187500.0,1.0,2026-05-11,0,0.75,0.75,215.0,0,1,-1,1,-0.0005013112255343177,Detected by Isolation Forest pattern analysis
3332,Normal/Others,"WS/MP351/2025-2026/141853-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Chakkarakkal Kollikkampoyil Road-Tarring,19-Sep-2024,2026-02-18,700000.0,Physical Inspection,WS/MP351/2025-2026/141853,19-Sep-2024,700000.0,2026-02-23,655610.0,655610.0,1.0,2026-02-23,1,0.9365857142857142,0.9365857142857142,202.0,0,0,1,0,0.04860224119317036,Detected by Isolation Forest pattern analysis
3333,Normal/Others,"WS/MP351/2025-2026/141857-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Vattipram Vayal Minnur Kshethra Road Tarring,19-Sep-2024,2026-02-19,1000000.0,Work partially Completed,WS/MP351/2025-2026/141857,19-Sep-2024,1000000.0,,,980140.0,1.0,2026-07-10,0,0.98014,0.98014,201.0,0,1,1,0,0.07637330378064267,Detected by Isolation Forest pattern analysis
3335,Normal/Others,"WS/MP351/2025-2026/141865-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Neerveli-Kulamkunnath kattilpura -Road-Tarring,19-Sep-2024,2026-02-27,500000.0,Work Completed,WS/MP351/2025-2026/141865,19-Sep-2024,500000.0,2026-03-03,496254.0,496254.0,1.0,2026-03-03,1,0.992508,0.992508,193.0,0,0,1,0,0.09947474444795934,Detected by Isolation Forest pattern analysis
3341,Normal/Others,WS/MP18152/2024-2025/141888-Construction of community centers and community halls,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Construction of community centers and community halls,20-Sep-2024,2024-12-03,2000000.0,Vendor Identification,WS/MP18152/2024-2025/141888,20-Sep-2024,2000000.0,,,144120.0,2.0,2026-01-27,0,0.07206,0.07206,644.0,0,1,1,0,0.04249148516772272,Detected by Isolation Forest pattern analysis
3345,Normal/Others,WS/MP582/2025-2026/141896-Lighting of public spaces,Gujarat,TAPI(District collector Tapi_IDA),Prabhubhai Nagarbhai Vasava,BARDOLI(ST),"the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Kanjan village near Govaldev temple Taluka Vyara District Tapi",20-Sep-2024,2025-05-28,146500.0,Physical Inspection,WS/MP582/2025-2026/141896,20-Sep-2024,146500.0,2026-01-09,146500.0,146500.0,1.0,2026-01-09,1,1.0,1.0,468.0,0,0,1,0,0.18739402307114328,Detected by Isolation Forest pattern analysis
3348,Normal/Others,WS/MP582/2025-2026/141913-Lighting of public spaces,Gujarat,TAPI(District collector Tapi_IDA),Prabhubhai Nagarbhai Vasava,BARDOLI(ST),"the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Borkhadi village Near Jawahar Navodaya Vidyalaya, Taluka Vyara, District Tapi",20-Sep-2024,2025-05-28,146500.0,Physical Inspection,WS/MP582/2025-2026/141913,20-Sep-2024,146500.0,2026-01-09,146500.0,146500.0,1.0,2026-01-09,1,1.0,1.0,468.0,0,0,1,0,0.18739402307114328,Detected by Isolation Forest pattern analysis
3422,Normal/Others,"WS/MP632/2025-2026/142067-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Anto Antony,PATHANAMTHITTA,Interlock and Concreting of St. Mary’s Shrine – Anakkayam Road. (Thampalakkadu) in Kanjirappally Grama Panchayat.,20-Sep-2024,2025-04-26,496079.0,Physical Inspection,WS/MP632/2025-2026/142067,20-Sep-2024,496079.0,2026-05-14,496079.0,496079.0,1.0,2026-05-14,1,1.0,1.0,500.0,0,0,1,0,0.19392303359090268,Detected by Isolation Forest pattern analysis
3429,Normal/Others,WS/MP632/2024-2025/142075-Purchase of books and periodicals for libraries/digitization of library books,Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Anto Antony,PATHANAMTHITTA,Providing Library Books to C. Kesavan Memorial Higher Secondary School in Koruthodu Grama Panchayat.,20-Sep-2024,2025-02-28,50000.0,Physical Inspection,WS/MP632/2024-2025/142075,20-Sep-2024,50000.0,2026-04-13,50000.0,50000.0,1.0,2026-04-13,1,1.0,1.0,557.0,0,0,1,0,0.20095845568830878,Detected by Isolation Forest pattern analysis
3438,Normal/Others,WS/MP743/2024-2025/142090-Construction of bus-sheds or bus-stops,Tamil Nadu,Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA),Ganesan Selvam,KANCHEEPURAM(SC),"Construction of Bus Shelter at Vaiyavur Colony, Vaiyavur Panchayat in Walajabad Panchayat Union.",20-Sep-2024,2025-03-27,498490.0,Physical Inspection,WS/MP743/2024-2025/142090,20-Sep-2024,498490.0,2026-02-25,498490.0,498490.0,1.0,2026-02-25,1,1.0,1.0,530.0,0,0,1,0,0.20374572320032458,Detected by Isolation Forest pattern analysis
3453,Normal/Others,WS/MP429/2024-2025/142113-Construction of community centers and community halls,Chhattisgarh,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,Construction of Covered Manch behind Kabir Bhawan( Samudayik Bhawan ) in Ward 51.,20-Sep-2024,2025-02-25,500000.0,Work partially Completed,WS/MP429/2024-2025/142113,20-Sep-2024,500000.0,,,250000.0,1.0,2026-04-21,0,0.5,0.5,560.0,0,1,1,0,0.09994528575365236,Detected by Isolation Forest pattern analysis
3479,Normal/Others,"WS/MP727/2024-2025/142175-Purchase of IT systems, including hardware and software for educational purposes",Rajasthan,KOTA(DISTRICT COLLECTOR KOTA_IDA),Om Birla,KOTA,"Navsrajit Cybar Thana Kota Shahar Hetu Computers Printer May Scaner Laptops May Anya Aawashyak Upkaran V Sansadhan Uplabdh Karwane Ka Kary.  Place-Kota,  Recommended Amount- 15.00 Lakh Rs., Implementing Agency - S.P. Kota City (06 Dated 18.09.2024)",21-Sep-2024,2024-12-03,1500000.0,Work partially Completed,WS/MP727/2024-2025/142175,21-Sep-2024,1500000.0,,,66000.0,1.0,2026-05-14,0,0.044,0.044,644.0,0,1,1,0,0.07365861877669999,Detected by Isolation Forest pattern analysis
3592,Normal/Others,WS/MP386/2024-2025/142507-Construction of rooms and halls in school and colleges,Rajasthan,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),Shri Hanuman Beniwal,NAGAUR,"Construction of Digital Library in Govt S.S.School,Kantiya",22-Sep-2024,2024-12-06,1499850.0,Physical Inspection,WS/MP386/2024-2025/142507,22-Sep-2024,1499850.0,2026-05-11,1499850.0,254475.0,1.0,2026-05-06,1,0.1696669666966696,0.1696669666966696,641.0,0,0,1,0,0.06791243697209459,Detected by Isolation Forest pattern analysis
3715,Normal/Others,"WS/MP18219/2025-2026/142650-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,BARELAL KE MAKAAN SE RAMSINGH PAL KE MAKAAN TAK C.C. ROAD NIRMAN WARK 50 MITER,19-Nov-2024,2025-08-23,400000.0,Vendor Identification,WS/MP18219/2025-2026/142650,19-Nov-2024,400000.0,,,92367.0,1.0,2026-03-12,0,0.2309175,0.2309175,381.0,0,1,1,0,0.02990502305379017,Detected by Isolation Forest pattern analysis
3721,Normal/Others,WS/MP716/2024-2025/142660-Construction of buildings for multi-gym,Punjab,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,Construction of Gym Room,23-Sep-2024,2024-11-22,199999.0,Physical Inspection,WS/MP716/2024-2025/142660,23-Sep-2024,199999.0,2026-03-09,199999.0,123022.0,5.0,2026-02-27,1,0.6151130755653779,0.6151130755653779,655.0,0,0,-1,1,-0.03623874961722462,Unusually high number of payments
3722,Normal/Others,WS/MP716/2024-2025/142661-Installation of multi-gym equipment,Punjab,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,Purchase of Gym Equipment,23-Sep-2024,2024-11-22,150000.0,Vendor Identification,WS/MP716/2024-2025/142661,23-Sep-2024,150000.0,,,150000.0,1.0,2026-08-26,0,1.0,1.0,655.0,0,1,1,0,0.19080270693608514,Detected by Isolation Forest pattern analysis
3745,Normal/Others,"WS/MP18311/2024-2025/142721-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Punjab,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM center at village Akabarpur",24-Sep-2024,2024-11-04,200000.0,Vendor Identification,WS/MP18311/2024-2025/142721,24-Sep-2024,200000.0,,,24128.0,1.0,2026-09-03,0,0.12064,0.12064,673.0,0,1,1,0,0.048455357529844534,Detected by Isolation Forest pattern analysis
3756,Normal/Others,WS/MP18311/2024-2025/142735-Construction of rooms and halls in school and colleges,Punjab,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,Construction of rooms in govt school at village bhagalan,24-Sep-2024,2024-11-04,200000.0,Vendor Identification,WS/MP18311/2024-2025/142735,24-Sep-2024,200000.0,,,29064.0,2.0,2026-09-01,0,0.14532,0.14532,673.0,0,1,1,0,0.034915265309996335,Detected by Isolation Forest pattern analysis
3784,Normal/Others,WS/MP743/2025-2026/142807-Installing community drinking water plants,Tamil Nadu,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),"Construction of RO Plant at Merku Cheyyur, Lathur Panchayat Union.",23-Sep-2024,2026-02-06,750000.0,Work Completed,WS/MP743/2025-2026/142807,23-Sep-2024,750000.0,2026-02-11,749986.0,749986.0,1.0,2026-02-11,1,0.9999813333333334,0.9999813333333334,214.0,0,0,1,0,0.16042172602478316,Detected by Isolation Forest pattern analysis
3957,Normal/Others,WS/MP18380/2024-2025/143214-Lighting of public spaces,Uttar Pradesh,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),VINOD KUMAR BIND,BHADOHI,Gram Sabha Jagua Sodha me chaurahe par panchayat Bhawan ke pas,24-Sep-2024,2025-01-22,121500.0,Work partially Completed,WS/MP18380/2024-2025/143214,24-Sep-2024,121500.0,,,118957.0,1.0,2026-09-05,0,0.9790699588477366,0.9790699588477366,594.0,0,1,1,0,0.1375766245093561,Detected by Isolation Forest pattern analysis
3959,Normal/Others,WS/MP18380/2024-2025/143216-Lighting of public spaces,Uttar Pradesh,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),VINOD KUMAR BIND,BHADOHI,Gram Sabha Tela ke Lalapur me Shayar mata Mandir ke pas sadak par,24-Sep-2024,2025-01-22,121500.0,Work partially Completed,WS/MP18380/2024-2025/143216,24-Sep-2024,121500.0,,,118957.0,1.0,2026-09-05,0,0.9790699588477366,0.9790699588477366,594.0,0,1,1,0,0.1375766245093561,Detected by Isolation Forest pattern analysis
3965,Normal/Others,"WS/MP350/2025-2026/143224-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Rajmohan Unnithan,KASARAGOD,Construction and Tarring/Concrete work for the Podithadam SC Colony Road in Ward 8 of Ezhom Grama Panchayath (First or second reach as required by concerend LGIs) [Work to be included under SC Category],24-Sep-2024,2026-02-19,600000.0,Physical Inspection,WS/MP350/2025-2026/143224,24-Sep-2024,600000.0,2026-05-04,526192.0,526192.0,1.0,2026-05-05,1,0.8769866666666667,0.8769866666666667,201.0,0,0,1,0,0.030294696082230232,Detected by Isolation Forest pattern analysis
4030,Normal/Others,WS/MP18380/2024-2025/143294-Lighting of public spaces,Uttar Pradesh,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),VINOD KUMAR BIND,BHADOHI,Gram Sabha Sansaripur me Baijnath Uchchatar Madhyamik School par,24-Sep-2024,2025-01-15,121500.0,Work partially Completed,WS/MP18380/2024-2025/143294,24-Sep-2024,121500.0,,,118957.0,1.0,2026-09-05,0,0.9790699588477366,0.9790699588477366,601.0,0,1,1,0,0.1399211327914499,Detected by Isolation Forest pattern analysis
4061,Normal/Others,WS/MP18219/2025-2026/143331-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,mahobkanth me kankuaa tigela par stainless steel (febicated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143331,19-Nov-2024,700000.0,,,416318.0,1.0,2026-04-21,0,0.59474,0.59474,455.0,0,1,1,0,0.08583850970496731,Detected by Isolation Forest pattern analysis
4062,Normal/Others,WS/MP18219/2025-2026/143332-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,khairau kalan tigela road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143332,19-Nov-2024,700000.0,,,416318.0,1.0,2026-04-21,0,0.59474,0.59474,455.0,0,1,1,0,0.08583850970496731,Detected by Isolation Forest pattern analysis
4063,Normal/Others,WS/MP18219/2025-2026/143333-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,gadhau tigela NH road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143333,19-Nov-2024,700000.0,,,416318.0,1.0,2026-04-21,0,0.59474,0.59474,455.0,0,1,1,0,0.08583850970496731,Detected by Isolation Forest pattern analysis
4064,Normal/Others,WS/MP18219/2025-2026/143334-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,khama me ravatpura tigela road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143334,19-Nov-2024,700000.0,,,416318.0,1.0,2026-07-17,0,0.59474,0.59474,455.0,0,1,1,0,0.08583850970496731,Detected by Isolation Forest pattern analysis
4065,Normal/Others,WS/MP18219/2025-2026/143335-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,nakra me aafatpura tigela road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143335,19-Nov-2024,700000.0,,,416318.0,1.0,2026-04-21,0,0.59474,0.59474,455.0,0,1,1,0,0.08583850970496731,Detected by Isolation Forest pattern analysis
4066,Normal/Others,WS/MP18219/2025-2026/143336-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,bela tal me shrinagar tigela road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Work Completed,WS/MP18219/2025-2026/143336,19-Nov-2024,700000.0,2026-01-22,698961.0,297530.0,1.0,2026-03-12,1,0.4250428571428571,0.4250428571428571,455.0,0,0,1,0,0.0987318353954757,Detected by Isolation Forest pattern analysis
4067,Normal/Others,WS/MP18219/2025-2026/143337-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,gaun gudha tigela masudpura road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143337,19-Nov-2024,700000.0,,,297530.0,1.0,2026-03-12,0,0.4250428571428571,0.4250428571428571,455.0,0,1,1,0,0.0987318353954757,Detected by Isolation Forest pattern analysis
4068,Normal/Others,WS/MP18219/2025-2026/143338-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,kotra me nahar pul ke pass stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143338,19-Nov-2024,700000.0,,,297530.0,1.0,2026-03-12,0,0.4250428571428571,0.4250428571428571,455.0,0,1,1,0,0.0987318353954757,Detected by Isolation Forest pattern analysis
4070,Normal/Others,WS/MP18219/2025-2026/143341-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,srinagar me belatal tigela par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143341,19-Nov-2024,700000.0,,,297530.0,1.0,2026-03-12,0,0.4250428571428571,0.4250428571428571,455.0,0,1,1,0,0.0987318353954757,Detected by Isolation Forest pattern analysis
4071,Normal/Others,WS/MP18219/2025-2026/143342-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,charkhari me gorhari road par stainless steel (febricated) yatri shed,19-Nov-2024,2025-06-10,700000.0,Vendor Identification,WS/MP18219/2025-2026/143342,19-Nov-2024,700000.0,,,416318.0,1.0,2026-07-17,0,0.59474,0.59474,455.0,0,1,1,0,0.08583850970496731,Detected by Isolation Forest pattern analysis
